Question,Answer,Wrong1,Wrong2,Wrong3,Wrong4
What is the name of her Alter Ego?,Sasha Fierce,BootyLicious,Queen B,Foxxxy,Giselle Carmen
Beyonce was the first woman to win how many Grammys in a single night?,6,3,5,4,8
When is Beyonce's birthday?,Sept 4 1981, Dec 4 1978, April 4 1980,Oct 4 1981,Jan 4 1975
Where was Beyonce born and raised?,Houston,New Orleans,Dallas,New York,Memphis
What was the name of her debut solo album?,Dangerously in Love,B'Day,Survivor,4,Above and Beyonce
What was the name of her second solo album?,B'day,Beyonce,I Am... Sasha Fierce,Live at Wembley,Irreplaceable
What did Beyonce's mom do for work?,Hairdresser and Salon Owner,Tour Manager,Fashion Designer,Singer,Jewellery Importer
What song won Beyonce her first Grammy?,Say My Name,No Scrubs,Chasing Waterfalls,Crazy in Love,Halo
What was Beyonce's first solo feature in another artist's song?,03 Bonnie & Clyde,Signs,Dreams,Love in This Club,Telephone
Which award did Beyonce win for her acting role in 'Obsessed' at the 2010 VMAs?,Best Fight Scene,Best Kiss,Best Actress,Best One-Liner,Best Thriller
What was the name of Beyonce and Jay-Z's duo tour?,On The Run Tour,Bonnie and Clyde Tour,The Mrs. Carter Tour,Ladies First Tour,Dangerously In Love
Who does Beyonce name as her main musical influence?,Michael Jackson,Adele,Prince,David Bowie,Madonna
Which song did Beyonce sing at the President's first inaugural dance?,At Last,This Old Heart of Mine,Imagine,All You Need Is Love,Let's Stay Together
Which song did Beyonce sing at the 2009 presidential inauguration?,America the Beautiful,God Bless the U.S.A.,Living in America,American Girl,Kids in America
When did Beyonce release her second album - B'Day?,Her 25th Birthday,Jay-Z's 28th Birthday,Blue Ivy's 1st Birthday,Her 22nd Birthday,Her 21st Birthday
What movie did Beyonce star in in 2009?,Obsessed,Austin Powers,Epic,Carmen,The Pink Panther
What is the name of Beyonce's top shop athletic line?,Ivy Park,Blue Ivy,Four,BeyLetics,Beyonce Yoga
What was the date of her wedding to Jay Z?,April 4 2008,January 4 2009,September 4 2008,December 4 2009,March 4 2007
In 2007= she became the first non-athlete & non-supermodel to appear on which magazine swimsuit issue?,Sports Illustrated,Maxim,Playboy,American Model,Spike Magazine
